Subtribe,Major_group,Species_estimate,phylo
Blepharocalycinae,Blepharocalyx,3,2
Eugeniinae,Eugenia_sect_Eugenia,20,7
Eugeniinae,Eugenia_sect_Excelsae,6,6
Eugeniinae,Eugenia_sect_Hexachlamys,8,3
Eugeniinae,Eugenia_sect_Jossinia,250,38
Eugeniinae,Eugenia_sect_Phyllocalyx,20,17
Eugeniinae,Eugenia_sect_Pillothecium,20,20
Eugeniinae,Eugenia_sect_Pseudeugenia,20,18
Eugeniinae,Eugenia_sect_Racemosae,60,19
Eugeniinae,Eugenia_sect_Schizocalomyrtus,15,8
Eugeniinae,Eugenia_sect_Speciosae,8,8
Eugeniinae,Eugenia_sect_Umbellatae,500,77
Lumiinae,Luma,2,2
Lumiinae,Myrceugenia,47,46
Lumiinae,Nothomyrcia,1,0
Lumiinae,Temu,1,1
Myrciinae,Myrcia_sect_Aguava,32,15
Myrciinae,Myrcia_sect_Aulomyrcia,147,75
Myrciinae,Myrcia_sect_Calyptranthes,290,32
Myrciinae,Myrcia_sect_Eugeniopsis,22,12
Myrciinae,Myrcia_sect_Gomidesia,60,48
Myrciinae,Myrcia_sect_Myrcia,118,29
Myrciinae,Myrcia_sect_Reticulosae,21,6
Myrciinae,Myrcia_sect_Sympodiomyrcia,27,27
Myrciinae,Myrcia_sect_Tomentosae,12,5
Myrtiinae,Accara,1,1
Myrtiinae,Calycolpus,16,3
Myrtiinae,Chamguava,3,1
Myrtiinae,Myrtus,2,1
Pliniinae,Algrizea,2,2
Pliniinae,Myrciaria,26,8
Pliniinae,Neomitranthes,15,2
Pliniinae,Plinia,69,9
Pliniinae,Siphoneugena,11,4
Pimentinae,Acca,2,2
Pimentinae,Campomanesia,38,22
Pimentinae,Curitiba,1,1
Pimentinae,Feijoa,1,1
Pimentinae,Legrandia,1,1
Pimentinae,Mosiera,33,6
Pimentinae,Myrrhinium,1,1
Pimentinae,Pimenta,16,7
Pimentinae,Psidium,112,61
Ugniinae,Lenwebbia,2,1
Ugniinae,Lophomyrtus,2,2
Ugniinae,Myrteola,3,1
Ugniinae,Neomyrtus,1,1
Ugniinae,Ugni,4,4